FBGN_BAIT	FBGN_INTERACTOR	OVERALL_SAINT_PROB	BAITS_TOTAL	SAMPLES	TOTAL_SPECTRALCOUNT	AVE_SPECTRALCOUNT_TOTNORM	AVE_SPECTRALCOUNT_BAITNORM	CONDITIONS_ISOLATED	SAINT_TIME_0	SAINT_TIME_I10	SAINT_TIME_S10	DYNAMICS_PROB_I10_OVER_0	DYNAMICS_PROB_S10_OVER_0	DYNAMICS_PROB_I10_OVER_S10	DYNAMIC_CONDITION	CONTROL_SAMPLES	CONTROL_TOTAL_SPECTRALCOUNT	AVE_SPECTRALCOUNT_TOTNORM_CONT	INTERACTION_DETECT_METHODS	REFERENCE	DATE1	DATA_VERSION	SYMBOL_BAIT	SYMBOL_INTERACTOR	DATE_LAST_UPDATED	INTERACTION_TYPE	PUBMEDURL
FBgn0286070	FBgn0261602	0.982312628	13	3	12	0.010230352	0.053655502	BI	0	0.96		0.96	0	0.96	I10 and I10/S10	5	10	0.00284477	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	cnk	RpL8	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0283499	FBgn0014141	0.995578157	8	2	10	0.008536217	0.068627451	I		0.99		0.99	0	0.99		1	5	0.004363002	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	InR	cher	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0010269	FBgn0052685	0.986734471	13	3	14	0.003823134	0.12647003	BI	0	0.97		0.97	0	0.97	I10 and I10/S10	4	27	0.010722128	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Dsor1	ZAP3	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0016794	FBgn0263198	0.9	8	3	6	0.002167136	0.037877208	IS		0.91	0	0.91	0	0.91					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	dos	Acn	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0010269	FBgn0260985	0.915984983	5	2	2	0.00081137	0.034271284	I		0.82		0.82	0	0.82		2	3	0.001249308	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Dsor1	RfC4	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0286070	FBgn0033926	0.854079181	12	2	3	0.003890095	0.023859192	B	0.69			0.69	0.69	0		1	1	0.002898551	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	cnk	Arc1	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0016794	FBgn0038271	0.999916	3	7	32	0.006391694	0.068536366	BIS	0.97	0.98	0.93	0.0488	0.0958	0.0872					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	dos	UQCR-C1	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0008635	0.88	5	3	10	0.002960533	0.036852473	BS	0		0.87	0	0.87	0.87		1	1	0.000813008	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	betaCOP	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0030959	0.88	7	2	5	0.004103806	0.036467752	IS		0	0.84	0	0.84	0.84		1	3	0.002439024	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	CG6961	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0261243	0.9	4	4	14	0.003159321	0.0403933	BIS	0		0.91	0	0.91	0.91	S10 and I10/S10				MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	Psa	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004638	FBgn0034691	1	1	5	69	0.019977922	0.121998158	BIS	0.99	0	1	0.99	0.01	1	I10 and I10/S10				MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	drk	Synj	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0015402	FBgn0039776	0.977890785	7	3	6	0.002778253	0.034408891	BI	0.95	0		0.95	0.95	0					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	ksr	PH4alphaEFB	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0016794	FBgn0037270	0.9	6	2	3	0.00149387	0.025122549	I		0.9		0.9	0	0.9		1	2	0.001745201	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	dos	eIF3f1	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0015402	FBgn0263006	0.942516041	10	4	18	0.007334019	0.091921206	BI	0.89	0		0.89	0.89	0	I10 and S10	1	1	0.000813008	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	ksr	SERCA	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0283499	FBgn0030136	0.933672355	14	3	8	0.004472019	0.036898396	BI	0	0.87		0.87	0	0.87		5	10	0.008550842	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	InR	RpS28b	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004638	FBgn0263998	1	4	6	148	0.032358326	0.216764941	BIS	1	0.99	0.99	0.01	0.01	0.0198		1	1	0.002463054	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	drk	Ack-like	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0000382	FBgn0035424	0.91	6	3	3	0.001997042	0.03012924	IS		0	0.92	0	0.92	0.92					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	csw	Larp4B	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0000043	1	8	3	59	0.02467666	0.323495689	IS		0	1	0	1	1	S10 and I10/S10				MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	Act42A	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0003139	0.88	1	6	11	0.001921923	0.024356224	BIS	0	0	0.87	0	0.87	0.87	S10 and I10/S10				MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	PpV	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0261437	0.97	6	3	14	0.004294365	0.05308659	BIS	0	0	0.97	0	0.97	0.97	S10 and I10/S10				MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	CSN8	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003205	FBgn0032518	0.907141297	13	3	7	0.002356039	0.066884532	BI	0.77	0		0.77	0.77	0		3	8	0.002951594	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Ras85D	RpL24	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003205	FBgn0039857	0.849657338	15	4	20	0.004647403	0.18671024	BI	0.66	0		0.66	0.66	0		3	10	0.0039395	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Ras85D	RpL6	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0283499	FBgn0015279	1	2	2	20	0.016442591	0.134803922	I		1		1	0	1	I10 and I10/S10	1	4	0.003252033	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	InR	Pi3K92E	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003731	FBgn0010217	0.990637218	11	4	24	0.011596984	0.095520422	BS	0.99		0	0.99	0.99	0	I10 and S10	1	1	0.0008726	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Egfr	ATPsynbeta	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0015402	FBgn0267385	0.991156314	13	5	27	0.009310386	0.106532937	BI	0	0.99		0.99	0	0.99	I10 and I10/S10	1	6	0.004878049	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	ksr	PyK	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004638	FBgn0000228	0.97	1	3	19	0.007852112	0.054373801	BI	0	0.98		0.98	0	0.98	I10 and I10/S10				MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	drk	Bsg25D	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0015402	FBgn0025682	0.986734471	5	3	6	0.002896475	0.036226483	BI	0.98	0		0.98	0.98	0					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	ksr	scf	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0286070	FBgn0263396	0.986734471	13	3	5	0.004260518	0.026244024	BI	0.98	0		0.98	0.98	0					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	cnk	sqd	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004390	FBgn0285954	0.986734471	14	4	12	0.005026362	0.143627451	BI	0	0.97		0.97	0	0.97	I10 and I10/S10	4	10	0.003876363	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	RasGAP1	caz	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0015402	FBgn0035811	0.986734471	6	4	13	0.005224318	0.065128077	BI	0.97	0		0.97	0.97	0	I10 and S10				MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	ksr	CG12262	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0283499	FBgn0028697	0.991156314	14	3	8	0.004275722	0.031989931	BI	0.98	0		0.98	0.98	0		2	11	0.005814732	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	InR	RpL15	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0264959	FBgn0027932	0.97	11	3	5	0.003424977	0.010107038	B	0.97			0.97	0.97	0		1	2	0.002557545	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Src42A	Akap200	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003205	FBgn0002781	0.977890785	3	3	8	0.002941862	0.077995643	BI	0.96	0		0.96	0.96	0		2	4	0.002540428	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Ras85D	mod(mdg4)	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0016794	FBgn0014141	0.97	8	2	12	0.005943597	0.097426471	I		0.96		0.96	0	0.96	I10 and I10/S10	1	5	0.004363002	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	dos	cher	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004390	FBgn0032987	0.977890785	11	3	5	0.002842883	0.081045752	BI	0.95	0		0.95	0.95	0		1	2	0.001745201	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	RasGAP1	RpL21	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004638	FBgn0011640	0.92	5	2	5	0.003010007	0.018910914	B	0.93			0.93	0.93	0					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	drk	lark	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0010269	FBgn0027932	0.973468942	11	3	12	0.00339065	0.042990648	BI	0.92	0		0.92	0.92	0	I10 and S10	1	2	0.002557545	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Dsor1	Akap200	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0000382	FBgn0010516	0.9	10	3	3	0.001588499	0.021921102	BI	0	0.9		0.9	0	0.9					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	csw	wal	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0010269	FBgn0037739	0.938094198	2	2	2	0.000895654	0.010081661	B	0.88			0.88	0.88	0					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Dsor1	CG12948	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0016794	FBgn0010531	0.87	2	2	2	0.00100654	0.017769608	I		0.86		0.86	0	0.86					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	dos	Ccs	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0001233	0.9328	15	8	73	0.011877307	0.132391628	BIS	0.83	0	0.56	0.83	0.4604	0.56		3	9	0.003638375	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	Hsp83	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003205	FBgn0028697	0.982312628	14	3	10	0.002719555	0.105882353	BI	0.96	0		0.96	0.96	0		2	11	0.005814732	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Ras85D	RpL15	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004638	FBgn0004907	0.999324	12	6	14	0.003171674	0.020120747	BIS	0.84	0.97	0.89	0.1804	0.2348	0.1334					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	drk	14-3-3zeta	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0286070	FBgn0261608	0.982312628	4	1	2	0.004807692	0.033898305	B	0	0.96		0.96	0	0.96		2	3	0.001279104	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	cnk	RpL37A	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0015402	FBgn0041180	1	3	5	90	0.029018575	0.33950061	BI	0.99	1		0.01	0.99	1	S10 and I10/S10				MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	ksr	Tep4	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003205	FBgn0038535	0.973468942	6	3	11	0.00330842	0.140958606	BI	0.93	0		0.93	0.93	0	I10 and S10	2	4	0.001948287	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Ras85D	alt	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0012036	0.92	5	4	18	0.004503576	0.047967506	BIS	0		0.93	0	0.93	0.93	S10 and I10/S10				MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	Aldh	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003079	FBgn0036107	0.9	8	2	3	0.001413853	0.019904605	IS		0	0.91	0	0.91	0.91					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Raf	galla-2	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004390	FBgn0265574	0.973468942	8	4	10	0.004333789	0.138235294	BI	0.95	0		0.95	0.95	0		2	8	0.004505831	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	RasGAP1	Cdc5	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0010269	FBgn0034577	0.960203413	11	3	7	0.001986216	0.057350057	BI	0	0.92		0.92	0	0.92		2	3	0.002899354	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Dsor1	cpa	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0010269	FBgn0259139	0.929250512	15	3	3	0.000820555	0.025905627	BI	0	0.83		0.83	0	0.83		1	2	0.001745201	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Dsor1	glo	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004638	FBgn0260632	0.89	1	4	21	0.007158706	0.042242615	BIS	0.85	0	0	0.85	0.85	0	I10 and S10				MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	drk	dl	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004638	FBgn0025865	1	1	5	38	0.010009858	0.066539877	BIS	1	0	0.99	1	0.01	0.99	I10 and I10/S10				MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	drk	Cortactin	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0032006	FBgn0267912	0.98	7	4	12	0.006396291	0.021344862	BIS	0	0	0.98	0	0.98	0.98	S10 and I10/S10				MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Pvr	CanA-14F	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0010269	FBgn0003079	0.933672355	5	3	7	0.002136413	0.025702127	BI	0.82	0		0.82	0.82	0					MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Dsor1	Raf	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0003205	FBgn0051550	0.933672355	7	2	3	0.002112331	0.043137255	B	0.81			0.81	0.81	0		1	2	0.001745201	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Ras85D	CG31550	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0016794	FBgn0263599	0.83	7	2	4	0.00201308	0.035539216	I		0.8		0.8	0	0.8		1	5	0.004363002	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	dos	l(3)72Ab	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0010269	FBgn0004867	0.893875768	14	4	32	0.006937779	0.132391564	BI	0	0.77		0.77	0	0.77		4	15	0.00377053	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Dsor1	RpS2	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0283499	FBgn0033912	0.880610239	12	3	10	0.005077968	0.039833068	BI	0.74	0		0.74	0.74	0		4	7	0.002323269	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	InR	RpS23	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0010269	FBgn0035608	0.862922867	5	2	6	0.002686961	0.030244984	B	0.71			0.71	0.71	0		1	1	0.000813008	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Dsor1	blanks	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0004390	FBgn0261119	0.854079181	10	3	8	0.004514575	0.132679739	BI	0.68	0		0.68	0.68	0		3	11	0.004551805	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	RasGAP1	Prp19	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
FBgn0010269	FBgn0051739	0.889453925	12	3	5	0.001411435	0.062276663	BI	0.67	0		0.67	0.67	0		1	1	0.001278772	MI:0007(anti tag coimmunoprecipitation)	Friedman et al (2011); PMID:22028469	18-Mar-11	DroID_v2018_08                          	Dsor1	AspRS-m	28-Aug-18	psi-mi:MI:0915(physical association)                                                                                                                                                                                                                                                                                                                                                                            	https://www.ncbi.nlm.nih.gov/pubmed/?term=22028469
